sentence_id,sentence,code_switch,all_aspects,all_opinions,valence_scores,arousal_scores
452,biryanii but aside they also need someone to be there alwaaays for them how matter worst the situation is ham hai hamesha but har kisi ke apne jagah hote hai that can t be replaced,biryanii:HI but:EN aside:EN they:EN also:EN need:EN someone:EN to:EN be:EN there:EN alwaaays:HI for:EN them:EN how:EN matter:EN worst:EN the:EN situation:EN is:EN ham:HI hai:HI hamesha:HI but:EN har:HI kisi:HI ke:HI apne:HI jagah:HI hote:HI hai:HI that:EN can:EN t:EN be:EN replaced:EN,{biryanii},{but aside they also need someone to be there alwaaays for them},{0.510},{0.427}
453,please ab aajtaksports pr koi or acha chehra laiye bor hogye hain vikrant gupta se bahut bor krta hai ab to indiansports bhi badlega please vikrant gupta ko off camera kr do ye ab faltu bakswas jyada krta hai apne hi kisse sunata rehta aajtak cheers4india olympics,please:EN ab:HI aajtaksports:HI pr:EN koi:HI or:EN acha:HI chehra:HI laiye:HI bor:EN hogye:HI hain:HI vikrant:HI gupta:HI se:HI bahut:HI bor:EN krta:HI hai:HI ab:HI to:HI indiansports:HI bhi:HI badlega:HI please:EN vikrant:HI gupta:HI ko:HI off:EN camera:EN kr:EN do:EN ye:HI ab:HI faltu:HI bakswas:HI jyada:HI krta:HI hai:HI apne:HI hi:HI kisse:HI sunata:HI rehta:HI aajtak:HI cheers4india:HI olympics:EN,{chehra; vikrant gupta},{koi or acha chehra laiye bor hogye hain; bahut bor krta hai ab to indiansports bhi badlega please vikrant gupta ko off camera kr do ye ab faltu bakswas jyada krta hai},{0.100; 0.302},{0.700; 0.645}
454,abe yar kam se kam tag to sahi use karo pata nahi kaunsa apne man se spelling ghusa de rahe 8 years of blockbuster express 8yearsofatgchennaiexpress,abe:HI yar:HI kam:HI se:HI kam:HI tag:EN to:EN sahi:HI use:HI karo:HI pata:HI nahi:HI kaunsa:HI apne:HI man:HI se:HI spelling:EN ghusa:HI de:HI rahe:HI 8:EN years:EN of:EN blockbuster:EN express:EN 8yearsofatgchennaiexpress:HI,{tag},{sahi use karo pata nahi kaunsa apne man se spelling ghusa de rahe},{0.333},{0.529}
455,mondaythoughts apne lye hi sab karte h koi dusro ke lye nhi karta mondaymotivation but dusro ke lye karke dekho kabhi bohat acha lagega,mondaythoughts:HI apne:HI lye:EN hi:HI sab:HI karte:HI h:EN koi:HI dusro:HI ke:HI lye:EN nhi:HI karta:HI mondaymotivation:HI but:EN dusro:HI ke:HI lye:EN karke:HI dekho:HI kabhi:HI bohat:HI acha:HI lagega:HI,{mondaythoughts; mondaymotivation},{apne lye hi sab karte h koi dusro ke lye nhi karta; dusro ke lye karke dekho kabhi bohat acha lagega},{0.440; 0.614},{0.465; 0.548}
456,sir mai private job krta hu bt income itna hi ho pata hai jis se ghar chal sake bt mai or jyada paisa kamana chahta hu taki apne sapno ko hakikat me badal saku apne desh ke liye olympic me gold medal jit saku pr koi rasta nhi mil rha,sir:HI mai:HI private:EN job:EN krta:HI hu:HI bt:HI income:EN itna:HI hi:HI ho:HI pata:HI hai:HI jis:HI se:HI ghar:HI chal:HI sake:HI bt:HI mai:HI or:EN jyada:HI paisa:HI kamana:HI chahta:HI hu:HI taki:HI apne:HI sapno:HI ko:HI hakikat:HI me:HI badal:HI saku:HI apne:HI desh:HI ke:HI liye:HI olympic:EN me:HI gold:EN medal:EN jit:HI saku:HI pr:EN koi:HI rasta:HI nhi:HI mil:HI rha:HI,{job; income; paisaf; sapno},{private job krta hu bt income itna hi ho pata hai jis se ghar chal sake; itna hi ho pata hai jis se ghar chal sake; or jyada paisa kamana chahta hu taki apne sapno ko hakikat me badal saku; sapno ko hakikat me badal saku apne desh ke liye olympic me gold medal jit saku},{0.518; 0.531; 0.600; 0.829},{0.484; 0.492; 0.700; 0.744}
457,mukesh sit mein aapse 101 sahmat hun aur agar mughalon ko etana achha kuchh aata to apne desh mein banakar khada karte ye sab hamaare saath etihasik dhokha hai desh ke adbhut mandir jinka koi kisi ko pata nahi hone diya saare jahan se achha hindostan hamara,mukesh:HI sit:EN mein:HI aapse:HI 101:EN sahmat:EN hun:HI aur:HI agar:HI mughalon:HI ko:HI etana:EN achha:HI kuchh:HI aata:HI to:HI apne:HI desh:HI mein:HI banakar:HI khada:HI karte:HI ye:HI sab:HI hamaare:HI saath:HI etihasik:HI dhokha:HI hai:HI desh:HI ke:HI adbhut:HI mandir:HI jinka:HI koi:HI kisi:HI ko:HI pata:HI nahi:HI hone:HI diya:HI saare:HI jahan:HI se:HI achha:HI hindostan:EN hamara:HI,{mughalon; etihasik dhokha; mandir; hindostan},{etana achha kuchh aata to apne desh mein banakar khada karte; hamaare saath etihasik dhokha hai; desh ke adbhut mandir jinka koi kisi ko pata nahi hone diya; saare jahan se achha hindostan hamara},{0.325; 0.100; 0.494; 0.950},{0.585; 0.800; 0.521; 0.850}
458,iss generation ki ladkiyan apne har bday par ek saal or choti ho jati,iss:HI generation:EN ki:HI ladkiyan:HI apne:HI har:HI bday:EN par:HI ek:HI saal:HI or:EN choti:HI ho:HI jati:HI,{ladkiyan},{apne har bday par ek saal or choti ho jati},{0.200},{0.650}
459,sir ye wala tweet apne delete q kr diya agar waiting list nikalti h to hm logo ka fayda hoga,sir:HI ye:HI wala:HI tweet:EN apne:HI delete:EN q:EN kr:EN diya:HI agar:HI waiting:EN list:EN nikalti:HI h:EN to:EN hm:HI logo:EN ka:HI fayda:HI hoga:HI,{tweet; waiting list},{delete q kr diya; hm logo ka fayda hoga},{0.346; 0.609},{0.399; 0.398}
460,sir prayagraj me near niranjan cinema aur uske pichhe kal night se light nahi aa rahi hai kripya apne sangyaan me lijiye,sir:HI prayagraj:HI me:HI near:EN niranjan:HI cinema:EN aur:HI uske:HI pichhe:HI kal:HI night:EN se:HI light:EN nahi:HI aa:HI rahi:HI hai:HI kripya:HI apne:HI sangyaan:HI me:HI lijiye:HI,{light},{kal night se light nahi aa rahi hai},{0.392},{0.504}
461,sir ye wrx coin memo token jesa kyu chal raha re achanak 400 ke upar or abhi 91 ke upar ja hi sab coin pump ho rahe he wrx 80 90 holding ke chakkar me fas gaya hu parso vol 62l the aajto 25l ke niche aaye the kuch apne paise kharch karke 150 tak bhagao sell karke ache me entr,sir:HI ye:HI wrx:HI coin:EN memo:EN token:EN jesa:HI kyu:HI chal:HI raha:HI re:HI achanak:HI 400:EN ke:HI upar:HI or:EN abhi:HI 91:EN ke:HI upar:HI ja:HI hi:HI sab:HI coin:EN pump:EN ho:HI rahe:HI he:HI wrx:HI 80:EN 90:EN holding:EN ke:HI chakkar:HI me:HI fas:HI gaya:HI hu:HI parso:HI vol:EN 62l:HI the:EN aajto:HI 25l:EN ke:HI niche:HI aaye:HI the:HI kuch:HI apne:HI paise:HI kharch:HI karke:HI 150:EN tak:HI bhagao:HI sell:EN karke:HI ache:HI me:HI entr:EN,{wrx coin; vol},{memo token jesa kyu chal raha re achanak 400 ke upar or abhi 91 ke upar ja hi sab coin pump ho rahe he wrx 80 90 holding ke chakkar me fas gaya; parso vol 62l the aajto 25l ke niche aaye},{0.394; 0.330},{0.646; 0.506}
462,majak krna aata he to apne maa baap ka bhi majak banayega kya nhi na isiliye har chiz pe majak nhi kr skte or desh ke samman se to bilkul nhi,majak:HI krna:HI aata:HI he:HI to:EN apne:HI maa:HI baap:HI ka:HI bhi:HI majak:HI banayega:HI kya:HI nhi:HI na:HI isiliye:HI har:HI chiz:HI pe:HI majak:HI nhi:HI kr:EN skte:HI or:EN desh:HI ke:HI samman:HI se:HI to:HI bilkul:HI nhi:HI,{majak},{desh ke samman se to bilkul nhi},{0.275},{0.675}
463,aman567 yup best numbering apne qismat may seeda nikah likha hai,aman567:HI yup:EN best:EN numbering:EN apne:HI qismat:HI may:EN seeda:HI nikah:HI likha:HI hai:HI,{numbering; qismat},{best; seeda nikah likha hai},{0.917; 0.850},{0.535; 0.500}
464,please apne kuch kuch tweets mai starplus aur deeya ko tag karte aoo fansdemandsaakks2 shauryaauranokhikikahani,please:EN apne:HI kuch:HI kuch:HI tweets:EN mai:HI starplus:HI aur:HI deeya:EN ko:HI tag:EN karte:HI aoo:EN fansdemandsaakks2:HI shauryaauranokhikikahani:HI,{tweets; kahaani},{apne kuch kuch tweets mai starplus aur deeya ko tag karte aoo; shauryaauranokhikikahani},{0.581; 0.600},{0.426; 0.450}
465,main ne apne ger main lagae hoay hain g purple yellow n white,main:HI ne:HI apne:HI ger:HI main:HI lagae:HI hoay:HI hain:HI g:HI purple:EN yellow:EN n:EN white:EN,{ger},{lagae hoay hain g purple yellow n white},{0.618},{0.293}
466,india beta meri english thik h jake google translate kr le or rhi baat modi v un politician k naam htakar apne naam kr leta hai to fark kya rah gya dono me chokidar hi chor h na pta h na or ha english ka paisa tum duba diya yaar modi dudh ka dhula nhi h double stranded person h,india:EN beta:HI meri:HI english:EN thik:HI h:EN jake:HI google:EN translate:EN kr:EN le:HI or:EN rhi:HI baat:HI modi:HI v:EN un:HI politician:EN k:HI naam:HI htakar:HI apne:HI naam:HI kr:EN leta:HI hai:HI to:HI fark:HI kya:HI rah:HI gya:HI dono:HI me:HI chokidar:HI hi:HI chor:HI h:EN na:HI pta:HI h:EN na:HI or:EN ha:HI english:EN ka:HI paisa:HI tum:HI duba:HI diya:HI yaar:HI modi:HI dudh:HI ka:HI dhula:HI nhi:HI h:EN double:EN stranded:EN person:EN h:EN,{english; modi},{paisa tum duba diya yaar; dudh ka dhula nhi h double stranded person h},{0.150; 0.319},{0.700; 0.575}
467,wrong on jab aap apne desh ki raksha krte hai to dharm ki raksha apne aap ho jaati hai truth is jab aap apne dharm ki raksha krte hai to desh ki raksha apne aap ho jaati hai,wrong:EN on:EN jab:HI aap:HI apne:HI desh:HI ki:HI raksha:HI krte:HI hai:HI to:HI dharm:HI ki:HI raksha:HI apne:HI aap:HI ho:HI jaati:HI hai:HI truth:EN is:EN jab:HI aap:HI apne:HI dharm:HI ki:HI raksha:HI krte:HI hai:HI to:HI desh:HI ki:HI raksha:HI apne:HI aap:HI ho:HI jaati:HI hai:HI,{desh; dharm},{jab aap apne desh ki raksha krte hai to dharm ki raksha apne aap ho jaati hai; jab aap apne dharm ki raksha krte hai to desh ki raksha apne aap ho jaati hai},{0.571; 0.571},{0.580; 0.580}
468,sharam aa rhi ye dekh k or kitni cancel hoti hai or uske baad tm log phn ni rec krte sharam ati hai y nahi isi liye amir ban rhe ho khali haram ka paisa kha k pta to hoga haram ka paisa khane wale ko kya kehte nhi to mata ji se puch lo apne olachor,sharam:HI aa:HI rhi:HI ye:HI dekh:HI k:HI or:EN kitni:HI cancel:EN hoti:HI hai:HI or:EN uske:HI baad:HI tm:EN log:HI phn:EN ni:HI rec:EN krte:HI sharam:HI ati:HI hai:HI y:EN nahi:HI isi:HI liye:HI amir:HI ban:HI rhe:HI ho:HI khali:HI haram:HI ka:HI paisa:HI kha:HI k:HI pta:HI to:HI hoga:HI haram:HI ka:HI paisa:HI khane:HI wale:HI ko:HI kya:HI kehte:HI nhi:HI to:HI mata:HI ji:HI se:HI puch:HI lo:HI apne:HI olachor:HI,{service},{or kitni cancel hoti hai or uske baad tm log phn ni rec krte},{0.226},{0.594}
469,news lagtaa h apne prada ke kapde aur joote bech diye modiji ne,news:EN lagtaa:HI h:EN apne:HI prada:EN ke:HI kapde:HI aur:HI joote:HI bech:HI diye:HI modiji:HI ne:HI,{news},{lagtaa h apne prada ke kapde aur joote bech diye},{0.200},{0.700}
470,yrkkh ma ak bat kahu mene abhi dekha aj hotstar ne apne sare shows ki description change kya ha n ye sare description change hotstar ne sare shows ki current track ko dhyan me rakhke kya ha means permanent nehi ha kuch bhi kyuki agr kal naira ayagi to firse ye change kar denge,yrkkh:EN ma:HI ak:HI bat:EN kahu:HI mene:HI abhi:HI dekha:HI aj:HI hotstar:EN ne:HI apne:HI sare:HI shows:EN ki:HI description:EN change:EN kya:HI ha:HI n:EN ye:HI sare:HI description:EN change:EN hotstar:EN ne:HI sare:HI shows:EN ki:HI current:EN track:EN ko:HI dhyan:HI me:HI rakhke:HI kya:HI ha:HI means:EN permanent:EN nehi:HI ha:HI kuch:HI bhi:HI kyuki:HI agr:HI kal:HI naira:HI ayagi:HI to:EN firse:HI ye:HI change:EN kar:HI denge:HI,{description},{sare shows ki description change kya ha n ye sare description change hotstar ne sare shows ki current track ko dhyan me rakhke kya ha means permanent nehi ha},{0.553},{0.416}
471,i can see that apne aap ko positive kehke har jagah negativity phailaake kuch fayda hai,i:EN can:EN see:HI that:EN apne:HI aap:HI ko:HI positive:EN kehke:HI har:HI jagah:HI negativity:EN phailaake:HI kuch:HI fayda:HI hai:HI,{negativity},{apne aap ko positive kehke har jagah negativity phailaake kuch fayda hai},{0.150},{0.750}
472,07 dunder le le apne where the sun doesn t shine,07:EN dunder:EN le:HI le:HI apne:HI where:EN the:EN sun:HI doesn:EN t:EN shine:EN,{07},{dunder le le apne where the sun doesn t shine},{0.365},{0.667}
473,hame ladhki ke prati ek paisa sympathy nahi hai akhir apne parents bhai behen ko tyag karke aant kya paya sirf mann sarir jidd ke adh me parivar kuul dharm samaj ka nash karanewali ladhki ko maaf nahi kia ja sakta waseem ka dosh itni hi hai ki vo vahi kia jo karne ko vo bana,hame:HI ladhki:HI ke:HI prati:HI ek:HI paisa:HI sympathy:EN nahi:HI hai:HI akhir:HI apne:HI parents:EN bhai:HI behen:HI ko:HI tyag:HI karke:HI aant:HI kya:HI paya:HI sirf:HI mann:HI sarir:EN jidd:HI ke:HI adh:HI me:HI parivar:HI kuul:HI dharm:HI samaj:HI ka:HI nash:EN karanewali:HI ladhki:HI ko:HI maaf:HI nahi:HI kia:HI ja:HI sakta:HI waseem:HI ka:HI dosh:HI itni:HI hi:HI hai:HI ki:HI vo:HI vahi:HI kia:HI jo:HI karne:HI ko:HI vo:HI bana:HI,{ladhki; waseem},{ek paisa sympathy nahi hai; vahi kia jo karne ko vo bana},{0.439; 0.200},{0.649; 0.600}
474,bhai mai bhi brahman ghar mein paida hua hu batao malai kahan bant rahi hai main bhi apna hissa mangta hu up mein 11 brahmin hain kin kin gotra ko apne 5 mein dala hai,bhai:HI mai:HI bhi:HI brahman:HI ghar:HI mein:HI paida:HI hua:HI hu:HI batao:HI malai:HI kahan:HI bant:HI rahi:HI hai:HI main:HI bhi:HI apna:HI hissa:HI mangta:HI hu:HI up:EN mein:HI 11:EN brahmin:EN hain:HI kin:EN kin:EN gotra:HI ko:HI apne:HI 5:EN mein:HI dala:HI hai:HI,{brahman},{bhai mai bhi brahman ghar mein paida hua hu batao malai kahan bant rahi hai},{0.450},{0.519}
475,miadham g mane 8171 pr mesag kia tha apne es shenakse kadha pr 3310040937505 pr eska jiwab nahe aya,miadham:HI g:HI mane:HI 8171:HI pr:EN mesag:HI kia:HI tha:HI apne:HI es:HI shenakse:HI kadha:HI pr:EN 3310040937505:HI pr:EN eska:EN jiwab:HI nahe:HI aya:HI,{mesag; jiwab},{jiwab nahe aya; nahe aya},{0.200; 0.200},{0.400; 0.400}
476,more power to u bhaijan allah apne hifazat me rakhe apko ameen,more:EN power:EN to:EN u:EN bhaijan:HI allah:HI apne:HI hifazat:HI me:HI rakhe:HI apko:HI ameen:HI,{bhaijan},{more power to u bhaijan allah apne hifazat me rakhe apko ameen},{0.817},{0.628}
477,apne fayde k liye khub apni behn beti ko mia bhai s biyah krwaya h tohni to sbko jija bnya h bhikari bc,apne:HI fayde:HI k:HI liye:HI khub:HI apni:HI behn:HI beti:HI ko:HI mia:HI bhai:HI s:EN biyah:HI krwaya:HI h:EN tohni:HI to:HI sbko:HI jija:HI bnya:HI h:EN bhikari:HI bc:EN,{bhiyah},{apne fayde k liye khub apni behn beti ko mia bhai s biyah krwaya h tohni to sbko jija bnya h bhikari bc},{0.250},{0.700}
478,hagg tu rhi h chikkita such a looser u r of kkk11 or ho to accept kro na or apne gadho ko bhi bolo accept kre nhi to jo ye tere 2 4 pr h na vo bhi nhi rhenge,hagg:EN tu:HI rhi:HI h:EN chikkita:HI such:EN a:EN looser:EN u:EN r:EN of:EN kkk11:HI or:EN ho:HI to:HI accept:EN kro:HI na:HI or:EN apne:HI gadho:HI ko:HI bhi:HI bolo:HI accept:EN kre:HI nhi:HI to:HI jo:HI ye:HI tere:HI 2:EN 4:EN pr:EN h:EN na:HI vo:HI bhi:HI nhi:HI rhenge:HI,{chikkita},{hagg tu rhi h chikkita such a looser u r},{0.201},{0.637}
479,me kartikey 7 mehrotra ankur kaushik1 adhikari1 pata nhi apko kya problem hai mujhe to cbse hi best lagta hai apne abhi up board nhi dekha hai isiliye cbse ko bekar bata rhi hai state board ki halat bahut khasta hai,me:HI kartikey:HI 7:EN mehrotra:HI ankur:HI kaushik1:HI adhikari1:HI pata:HI nhi:HI apko:HI kya:HI problem:EN hai:HI mujhe:HI to:HI cbse:EN hi:HI best:EN lagta:HI hai:HI apne:HI abhi:HI up:EN board:EN nhi:HI dekha:HI hai:HI isiliye:HI cbse:EN ko:HI bekar:HI bata:HI rhi:HI hai:HI state:EN board:EN ki:HI halat:HI bahut:HI khasta:HI hai:HI,{cbse; up board},{best lagta hai; nahi dekha hai isiliye cbse ko bekar bata rhi hai state board ki halat bahut khasta hai},{0.891; 0.363},{0.485; 0.469}
480,ksaurav guide tab kiya ja sakta hai jab koi guidance ko follow karna chahe yahan bohut sare aise log bhi hai jo apne aap ko pm samajhte hai aur am not the leader tagline leke ghumte hai aise log bas apni marji ke maafik kaam kartein hai kisiko sunne ki jarurat nahi samajhte,ksaurav:HI guide:EN tab:HI kiya:HI ja:HI sakta:HI hai:HI jab:HI koi:HI guidance:EN ko:HI follow:EN karna:HI chahe:HI yahan:HI bohut:HI sare:HI aise:HI log:HI bhi:HI hai:HI jo:HI apne:HI aap:HI ko:HI pm:EN samajhte:HI hai:HI aur:HI am:EN not:EN the:EN leader:EN tagline:EN leke:HI ghumte:HI hai:HI aise:HI log:HI bas:HI apni:HI marji:HI ke:HI maafik:HI kaam:HI kartein:HI hai:HI kisiko:HI sunne:HI ki:HI jarurat:HI nahi:HI samajhte:HI,{guide; log},{tab kiya ja sakta hai jab koi guidance ko follow karna chahe; apne aap ko pm samajhte hai aur am not the leader tagline leke ghumte hai aise log bas apni marji ke maafik kaam kartein hai kisiko sunne ki jarurat nahi samajhte},{0.447; 0.381},{0.463; 0.605}
481,suno madam aapko aitraaz hai agar jai shree ram kehne me toh aap apne muh par taala laga lo par ye tukde tukde gang wala kaam chhod do kyunki 4 din ki chaandni fir andheri raat apni aukat par aaogi vapas tum jnu ki bigdi aulad baaz aa jao,suno:HI madam:EN aapko:HI aitraaz:HI hai:HI agar:HI jai:HI shree:HI ram:EN kehne:HI me:HI toh:HI aap:HI apne:HI muh:HI par:HI taala:HI laga:HI lo:HI par:HI ye:HI tukde:HI tukde:HI gang:EN wala:HI kaam:HI chhod:HI do:HI kyunki:HI 4:EN din:HI ki:HI chaandni:HI fir:HI andheri:HI raat:HI apni:HI aukat:HI par:HI aaogi:HI vapas:HI tum:HI jnu:HI ki:HI bigdi:HI aulad:HI baaz:HI aa:HI jao:HI,{kaam},{tukde tukde gang wala kaam chhod do},{0.247},{0.774}
482,i know bas wahi best hai ese hi hona chahiya muje pls follow me walo par bada gussa aata hai followers 1 ho lakho karodo me koi award nahi dega fir pata nahi itna kya hai logo ko maine apne patidev ya bhai ko bhi nahi kaha ki muje follow kare,i:EN know:EN bas:HI wahi:HI best:EN hai:HI ese:HI hi:HI hona:HI chahiya:HI muje:HI pls:EN follow:EN me:EN walo:HI par:HI bada:HI gussa:HI aata:HI hai:HI followers:EN 1:EN ho:HI lakho:HI karodo:HI me:HI koi:HI award:EN nahi:HI dega:HI fir:HI pata:HI nahi:HI itna:HI kya:HI hai:HI logo:EN ko:HI maine:HI apne:HI patidev:HI ya:HI bhai:HI ko:HI bhi:HI nahi:HI kaha:HI ki:HI muje:HI follow:EN kare:HI,{followers},{muze pls follow me walo par bada gussa aata hai},{0.396},{0.645}
483,desh mein jahar bechane waale ye chand log hain enko apne aap sudhar karne ki jaroorat hai agar aisa nahi karte to enka complete bahiskar karana chahiye tabhi ye laaton ke bhoot maanege jay hind,desh:HI mein:HI jahar:EN bechane:HI waale:HI ye:HI chand:HI log:HI hain:HI enko:HI apne:HI aap:HI sudhar:HI karne:HI ki:HI jaroorat:HI hai:HI agar:HI aisa:HI nahi:HI karte:HI to:HI enka:EN complete:EN bahiskar:HI karana:HI chahiye:HI tabhi:HI ye:HI laaton:EN ke:HI bhoot:HI maanege:HI jay:HI hind:EN,{log},{desh mein jahar bechane waale ye chand log hain enko apne aap sudhar karne ki jaroorat hai},{0.298},{0.627}
484,rukna nahi hain srkians apne cute superstar ko 300k krke dena hain 8yearsofatgchennaiexpress,rukna:HI nahi:HI hain:HI srkians:HI apne:HI cute:EN superstar:EN ko:HI 300k:EN krke:HI dena:HI hain:HI 8yearsofatgchennaiexpress:HI,{superstar},{cute superstar ko 300k krke dena hain},{0.901},{0.747}
485,apne badamians ke green green edit dps dekhinn,apne:HI badamians:HI ke:HI green:EN green:EN edit:EN dps:EN dekhinn:HI,{dps},{green green edit},{0.620},{0.370}
486,besharmi ka best example tu hi hai behen tumlog likes ke liye apne maa baap tak ko bech doge,besharmi:HI ka:HI best:EN example:EN tu:HI hi:HI hai:HI behen:HI tumlog:HI likes:EN ke:HI liye:HI apne:HI maa:HI baap:HI tak:HI ko:HI bech:HI doge:HI,{tu; tumlog},{besharmi ka best example tu hi hai; likes ke liye apne maa baap tak ko bech doge},{0.395; 0.446},{0.717; 0.845}
487,yes doctor amma ko sba kuch ata hai siwaye apne pagal beta ke ilaaj ke,yes:EN doctor:EN amma:HI ko:HI sba:EN kuch:HI ata:HI hai:HI siwaye:HI apne:HI pagal:HI beta:HI ke:HI ilaaj:HI ke:HI,{ilaaj; beta},{sba kuch ata hai siwaye apne pagal beta ke ilaaj ke; pagal beta ke},{0.150; 0.405},{0.700; 0.510}
488,shaynenair brainwsh vo ni tum ho bhai y jo covid ka test or covid ki vaccine free lg rhi h privt company ko raw materials tm apne ghr se dete ho y fir vo jo ppt kit bnegi vo tm ghr se doge road tax medical tax kbhi bhrr ho fir modi ped m se paisa niklde,shaynenair:HI brainwsh:HI vo:HI ni:HI tum:HI ho:HI bhai:HI y:EN jo:HI covid:HI ka:HI test:EN or:EN covid:HI ki:HI vaccine:EN free:EN lg:HI rhi:HI h:EN privt:HI company:EN ko:HI raw:EN materials:EN tm:EN apne:HI ghr:HI se:HI dete:HI ho:HI y:EN fir:HI vo:HI jo:HI ppt:EN kit:EN bnegi:HI vo:HI tm:EN ghr:HI se:HI doge:HI road:EN tax:EN medical:EN tax:EN kbhi:HI bhrr:HI ho:HI fir:HI modi:HI ped:HI m:EN se:HI paisa:HI niklde:HI,{vaccine; tax},{free lg rhi h privt company ko raw materials tm apne ghr se dete ho; kbhi bhrr ho},{0.150; 0.100},{0.750; 0.800}
489,sanatani is gp bihar ke paas patna hai jo tere teeno shahar ko apne andar shama lega,sanatani:HI is:EN gp:EN bihar:HI ke:HI paas:HI patna:EN hai:HI jo:HI tere:HI teeno:HI shahar:HI ko:HI apne:HI andar:HI shama:HI lega:HI,{patna},{tere teeno shahar ko apne andar shama lega},{0.500},{0.600}
490,rakibul sule tu kya hai na ajne apne baap ki aulad hai ya fir kisi gutter ka namuna,rakibul:EN sule:EN tu:HI kya:HI hai:HI na:HI ajne:HI apne:HI baap:HI ki:HI aulad:HI hai:HI ya:HI fir:HI kisi:HI gutter:EN ka:HI namuna:HI,{rakibul sule},{kya hai na ajne apne baap ki aulad hai ya fir kisi gutter ka namuna},{0.272},{0.559}
491,jasminbhasin kya samjhayegi apne negative fans ko wo khud negativity amp jealousy ki dukan h that s why public ne use top10 se bahar kar diya jabki nikkitamboli abhi young h but kafi mature h hamesa nikkians ko positivity sikhati h is best but,jasminbhasin:HI kya:HI samjhayegi:HI apne:HI negative:EN fans:EN ko:HI wo:HI khud:HI negativity:EN amp:EN jealousy:EN ki:HI dukan:HI h:EN that:EN s:EN why:EN public:EN ne:HI use:HI top10:EN se:HI bahar:HI kar:HI diya:HI jabki:HI nikkitamboli:HI abhi:HI young:EN h:EN but:EN kafi:HI mature:EN h:EN hamesa:HI nikkians:HI ko:HI positivity:EN sikhati:HI h:EN is:EN best:EN but:EN,{jasminbhasin; nikkitamboli},{negativity amp jealousy ki dukan h; young h but kafi mature h hamesa nikkians ko positivity sikhati h is best},{0.133; 0.827},{0.683; 0.612}
492,st sc apne ghr me kuch bhi kre mujhe koi issue nhi h,st:EN sc:EN apne:HI ghr:HI me:HI kuch:HI bhi:HI kre:HI mujhe:HI koi:HI issue:EN nhi:HI h:EN,{st sc},{apne ghr me kuch bhi kre mujhe koi issue nhi h},{0.408},{0.509}
493,people say making friends is a big task main toh sidha crush ko ask out karta hoon apne aap hi friends bante hai,people:EN say:EN making:EN friends:EN is:EN a:EN big:EN task:EN main:HI toh:HI sidha:HI crush:EN ko:HI ask:EN out:EN karta:HI hoon:HI apne:HI aap:HI hi:HI friends:EN bante:HI hai:HI,{friends},{making friends is a big task main toh sidha crush ko ask out karta hoon apne aap hi friends bante hai},{0.726},{0.519}
494,p0 har insan ka apne azadi chatar hjhnda to chat per kia kheto ne bhi gad sakta h moka milna h,p0:EN har:HI insan:HI ka:HI apne:HI azadi:HI chatar:EN hjhnda:HI to:EN chat:EN per:HI kia:HI kheto:HI ne:HI bhi:HI gad:HI sakta:HI h:EN moka:HI milna:HI h:EN,{jhnda},{apne azadi chatar hjhnda to chat per kia kheto ne bhi gad sakta h},{0.540},{0.478}
495,rumble arey arey itna credit nahi le sakti main please apni shakal apne pass rakh aur hum apna 5 bhi nahi de rahe bhai terepe energy waste karke kya hum literally call pe tera mazak uda rahe hai little do you know,rumble:EN arey:HI arey:HI itna:HI credit:EN nahi:HI le:HI sakti:HI main:HI please:EN apni:HI shakal:HI apne:HI pass:EN rakh:HI aur:HI hum:HI apna:HI 5:EN bhi:HI nahi:HI de:HI rahe:HI bhai:HI terepe:HI energy:EN waste:EN karke:HI kya:HI hum:HI literally:EN call:EN pe:HI tera:HI mazak:HI uda:HI rahe:HI hai:HI little:EN do:EN you:EN know:EN,{energy},{waste karke},{0.045},{0.680}
496,kshtriye hai sirf brahmano baniyo ki ghulami karne ke liye naa dalit brahman jaise apne samaj ki awaaz uthata hai naa koi kaam kiya hoga samaj me liye saare kshtriye dogle bas apne pet bharte hai or paisa banate hai itihaas gawah hai jssc or jharkhand me muh nahi khulta,kshtriye:HI hai:HI sirf:HI brahmano:HI baniyo:EN ki:HI ghulami:EN karne:HI ke:HI liye:HI naa:HI dalit:HI brahman:HI jaise:HI apne:HI samaj:HI ki:HI awaaz:HI uthata:HI hai:HI naa:HI koi:HI kaam:HI kiya:HI hoga:HI samaj:HI me:HI liye:HI saare:HI kshtriye:HI dogle:HI bas:HI apne:HI pet:EN bharte:HI hai:HI or:EN paisa:HI banate:HI hai:HI itihaas:HI gawah:HI hai:HI jssc:HI or:EN jharkhand:HI me:HI muh:HI nahi:HI khulta:HI,{kshtriye; dalit; brahman},{sirf brahmano baniyo ki ghulami karne ke liye... dogle bas apne pet bharte hai or paisa banate hai; apne samaj ki awaaz uthata hai; apne samaj ki awaaz uthata hai},{0.463; 0.650; 0.650},{0.589; 0.600; 0.600}
497,ye sb log apne ghr pr ye kaam krte h,ye:HI sb:EN log:HI apne:HI ghr:HI pr:EN ye:HI kaam:HI krte:HI h:EN,{ye sb log},{apne ghr pr ye kaam krte h},{0.500},{0.400}
